game_id,name,game_slug,price,release_date,platform,description,developer,publisher,genres,Average hours played
1,Assassin's Creed® I: Director's Cut,assassins-creed-1,19.99,2008-04-09T15:00:00.000Z,Windows,"You are an Assassin, a warrior shrouded in secrecy and feared for your ruthlessness. Your actions can throw your immediate environment into chaos, and your existence will shape events during this pivotal moment in history.",Ubisoft,Ubisoft,"ACTION,RPG",45053.07
2,LEGO® Batman™: The Videogame,lego-batman,19.99,2008-09-28T15:00:00.000Z,Windows,"When all the villains in Arkham Asylum team up and break loose, only the dynamic duo is bold enough to take them on to save Gotham City. The fun of LEGO, the drama of Batman and the uniqueness of the combination makes for a comical and exciting adventure in LEGO Batman: The Vi...",Traveller's Tales,Warner Bros.,ACTION,39496.16
3,World of Goo,world-of-goo,14.99,2008-10-13T15:00:00.000Z,"Windows,Mac",You Can't Stop Progress,2D Boy,2D Boy,"INDIE,PUZZLE",13382.81
4,Shadow Complex Remastered,shadow-complex,14.99,2009-08-19T14:00:00.000Z,"Mac,Windows",SHADOW COMPLEX IS BACK....AND BETTER THAN EVER!,Epic Games,Epic Games,ACTION,34707.04
5,Metro 2033 Redux,metro-2033-redux,19.99,2010-03-16T15:00:00.000Z,,"In 2013, the world was devastated by an apocalyptic event, annihilating almost all mankind and turning the earth’s surface into a poisonous wasteland. A handful of survivors took refuge in the depths of the Moscow underground, and human civilization entered a new Dark Age.  Th...",4A Games,Deep Silver,"SHOOTER,FPS",9218.19
6,Batman Arkham Asylum Game of the Year Edition,batman-arkham-asylum,19.99,2010-03-26T15:00:00.000Z,Windows,Experience what it’s like to be Batman and face off against Gotham's greatest villians. Explore every inch of Arkham Asylum and roam freely on the infamous island.,Rocksteady Studios,Warner Bros.,"ACTION,FIGHTING,STEALTH",20833.13
7,Limbo,limbo,9.99,2010-07-30T15:00:00.000Z,Windows,"Uncertain of his sister's fate, a boy enters LIMBO",Playdead,Playdead,"INDIE,PLATFORMER,PUZZLE",20422.76
8,Costume Quest,costume-quest,9.99,2010-10-19T13:00:00.000Z,Windows,"Costume Quest is a Halloween adventure from Tim Schafer's Double Fine Productions. In this charming role-playing game, choose your hero and trick-or-treat through three beautiful environments full of Double Fine humor and story.",Double Fine Productions,Double Fine Productions,"ADVENTURE,RPG",23255.65
9,Super Meat Boy,super-meat-boy,14.99,2010-10-20T15:00:00.000Z,Windows,Super Meat Boy is a tough as nails platformer where you play as a boy without skin who needs to save his girlfriend made of bandages from an evil fetus in a jar wearing a top hat and a monocle.,Team Meat,Team Meat,"ACTION,PLATFORMER",6724.94
10,The Walking Dead: Season One,walking-dead-season-one,14.99,2012-04-24T15:00:00.000Z,Windows,"The Walking Dead is a five-part game series set in the same universe as Robert Kirkman’s award-winning comic book series. Play as Lee Everett, a convicted criminal, who has been given a second chance at life in a world devastated by the undead. With corpses returning to life a...",Telltale Games,Skybound Games,"SINGLE_PLAYER,NARRATION,ADVENTURE",11617.69
11,Alan Wake’s American Nightmare,alan-wake-american-nightmare,8.99,2012-05-22T15:00:00.000Z,Windows,"A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode!",Remedy Entertainment,Remedy Entertainment,"HORROR,ACTION,SHOOTER",24235.18
12,Ticket to Ride,ticket-to-ride,9.99,2012-05-24T08:00:00.000Z,Windows,"The official adaptation of Days of Wonder's best-selling train board game, Ticket to Ride takes less than one minute to learn but a lifetime to master. Over 70 million games played online and a new game starting every 4 seconds on average! In addition to the exciting cross-pla...",Days of Wonder,Asmodee Digital,"STRATEGY,MULTIPLAYER,PARTY",17730.77
13,LEGO® Batman™ 2: DC Super Heroes,lego-batman-2,19.99,2012-06-22T15:00:00.000Z,Windows,"Legends Unite! The Dynamic Duo of Batman and Robin join other famous super heroes from the DC Universe including Superman, Wonder Woman and Green Lantern to save Gotham City from destruction at the hands of the notorious villains Lex Luthor and the Joker.",Traveller's Tales,Warner Bros.,"ACTION,OPEN_WORLD",71843.66
14,Batman Arkham City Game of the Year Edition,batman-arkham-city,19.99,2012-09-07T15:00:00.000Z,Windows,Get Batman: Arkham City and all DLC for one low price with the release of the GOTY Edition!,Rocksteady Studios,Warner Bros.,"ACTION,FIGHTING,STEALTH",12778.93
15,Little Inferno,little-inferno,14.99,2012-11-19T15:00:00.000Z,"Windows,Mac,Win32",Something's Burning...,Tomorrow Corporation,Tomorrow Corporation,"INDIE,PUZZLE,SIMULATION",4383.06
16,Far Cry®3 Standard Edition,far-cry-3,19.99,2013-01-15T10:00:00.000Z,Windows,"Far Cry 3 is an open world first-person shooter set on an island unlike any other. And as you embark on a desperate quest to rescue your friends, you realize that the only way to escape this darkness… is to embrace it","Ubisoft Montreal,Massive Entertainment,Ubisoft Shanghai",Ubisoft,"OPEN_WORLD,FPS,ACTION",17337.94
17,The Bridge,the-bridge,9.99,2013-02-22T16:00:00.000Z,"Mac,Windows",The Bridge is a logic puzzle game that forces the player to reevaluate their preconceptions of physics and perspective. It is Isaac Newton meets M.C. Escher. Manipulate gravity to redefine the ceiling as the floor while venturing through impossible architectures.,"The Quantum Astrophysicists Guild, Ty Taylor,Mario Castañeda",The Quantum Astrophysicists Guild,"INDIE,PLATFORMER,PHYSICS",17934.17
18,The Walking Dead: Season Two,walking-dead-season-two,14.99,2013-02-23T15:00:00.000Z,Windows,"Many months have passed since the events seen in Season One of The Walking Dead, and Clementine is searching for safety. But what can an ordinary child do to stay alive when the living can be just as bad – and sometimes worse – than the dead? As Clementine, you will be tested ...",Telltale Games,Skybound Games,"SINGLE_PLAYER,NARRATION,ADVENTURE",37566.31
19,Fez,fez,9.99,2013-04-13T15:00:00.000Z,"Windows,Mac","Gomez is a 2D creature living in a 2D world. Or is he? When the existence of a mysterious 3rd dimension is revealed to him, Gomez is sent out on a journey that will take him to the very end of time and space. Use your ability to navigate 3D structures from 4 distinct classic 2...","Polytron Corporation, Inc","Polytron Corporation, Inc","PUZZLE,PLATFORMER,SINGLE_PLAYER",58935.97
20,South Park™: The Stick of Truth™,south-park-the-stick-of-truth,29.99,2014-03-04T10:00:00.000Z,Windows,"From the perilous battlefields of the fourth-grade playground, a young hero will rise, destined to be South Park’s savior.",Obsidian Entertainment,Ubisoft,"RPG,COMEDY,TURN_BASED",53578.74
21,Child of Light: Ultimate Edition,child-of-light,19.99,2014-04-30T15:00:00.000Z,Windows,"Aurora, a young girl from 1895 Austria, awakens on the lost fairytale continent of Lemuria. To return home she must fight against the dark creatures of the Queen of the Night, who have stolen the sun, the moon and the stars.",Ubisoft Montréal,Ubisoft,"RPG,ADVENTURE",51898.07
22,Transistor,transistor,19.99,2014-05-20T15:00:00.000Z,"Windows,Mac",Discover the world of Transistor,Supergiant Games,Supergiant Games,"ACTION,RPG,SINGLE_PLAYER",31229.23
23,FTL: Faster Than Light,faster-than-light,9.99,2014-09-14T16:00:00.000Z,"Windows,Mac",This spaceship simulation roguelike-like allows you to take your ship and crew on an adventure through a randomly generated galaxy filled with glory and bitter defeat.,Subset Games,Subset Games,"ROGUE_LIKE,SPACE_SIM,STRATEGY",77312.79
24,LEGO® Batman™ 3: Beyond Gotham,lego-batman-3,19.99,2014-11-11T15:00:00.000Z,Windows,The Caped Crusader joins forces with the super heroes of the DC Comics universe and blasts off to outer space to stop the evil Brainiac from destroying Earth.,Traveller's Tales,Warner Bros.,"ACTION,OPEN_WORLD",14792.13
25,Assassin's Creed Unity,assassins-creed-unity,29.99,2014-11-11T16:00:00.000Z,Windows,Assassin’s Creed Unity tells the story of Arno who embarks upon an extraordinary journey to expose the true powers behind the French Revolution.,Ubisoft,Ubisoft,"OPEN_WORLD,STEALTH,ACTION",37296.48
26,This War of Mine,this-war-of-mine,19.99,2014-11-14T15:00:00.000Z,"Windows,Mac","In This War Of Mine you do not play as an elite soldier, rather a group of civilians trying to survive in a besieged city; struggling with lack of food, medicine and constant danger from snipers and hostile scavengers. The game provides an experience of war seen from an entire...",11 Bit Studios,11 Bit Studios,"SURVIVAL,HORROR,SINGLE_PLAYER",50554.97
27,The Jackbox Party Pack,jackbox-party-pack-1,24.99,2014-11-18T15:00:00.000Z,"Windows,Mac,Win32",For 1-100 players! Your phones or tablets are your controllers! The team behind YOU DON’T KNOW JACK presents FIVE guffaw-inducing party games in one pack!   Games include:   1) The comedy trivia sensation YOU DON’T NOW JACK 2015 (1-4 players) with hundreds of all-new questions...,Jackbox Games,Jackbox Games,"CASUAL,PARTY,TRIVIA",7385.02
28,FAR CRY 4,far-cry-4,29.99,2014-11-18T16:00:00.000Z,Windows,"You are Ajay Ghale. Traveling to Kyrat, you find yourself caught up in a civil war to overthrow the twisted dictator Pagan Min.",Ubisoft,Ubisoft,"ACTION,OPEN_WORLD,SHOOTER,SINGLE_PLAYER,ADVENTURE,EXPLORATION,FPS",47213.28
29,The Talos Principle,the-talos-principle,39.99,2014-12-11T11:00:00.000Z,"Windows,Mac","The Talos Principle is a first-person puzzle game in the tradition of philosophical science fiction. Made by Croteam and written by Tom Jubert (FTL, The Swapper) and Jonas Kyratzes (The Sea Will Claim Everything).", Croteam," Devolver Digital, Croteam","ACTION,ADVENTURE,INDIE",42525.28
30,UNREAL TOURNAMENT EDITOR,unreal-tournament,0.00,2015-02-09T00:00:00.000Z,"Windows,Mac","Unreal® Tournament is being developed as a collaboration between gamers, developers and Epic Games. The community can not only play the game while it is being developed, but also share ideas, make mods or even help with development.  Install the Unreal Tournament editor to sta...",Epic Games,Epic Games,"FIRST_PERSON,SHOOTER",11553.47
31,Unreal Tournament,unreal-tournament,0.00,2015-02-10T00:00:00.000Z,"Windows,Mac","This is an early version of the Unreal Tournament experience, featuring new content and returning classics. There’s still a lot of work to be done, but you’re able to participate, today, and earn in-game rewards available only to Pre-Alpha participants. Come check out the prog...",Epic Games,Epic Games,"FIRST_PERSON,SHOOTER",37371.74
32,AXIOM VERGE,axiom-verge,19.99,2015-05-14T15:00:00.000Z,Windows,"“You think you know how Axiom Verge will play out. But you don't.” 5/5 Stars – Giant Bomb  “...simply one of the best games I've played in years.” 5/5 Stars – US Gamer  After a lab accident, a scientist awakens in a mysterious, alien world. Is this a distant planet? The far fu...",Thomas Happ Games LLC,Thomas Happ Games LLC,"ACTION,METROIDVANIA,PLATFORMER",4147.93
33,Metro Last Light Redux,metro-last-light-redux,19.99,2015-06-02T15:00:00.000Z,Windows,"It is the year 2034.  Beneath the ruins of post-apocalyptic Moscow, in the tunnels of the Metro, the remnants of mankind are besieged by deadly threats from outside... and within.  Mutants stalk the catacombs beneath the desolate surface and hunt amidst the poisoned skies abov...",4A Games,Deep Silver,SHOOTER,31801.57
34,Batman Arkham Knight,batman-arkham-knight,19.99,2015-06-23T15:00:00.000Z,Windows,"Batman™: Arkham Knight brings the award-winning Arkham trilogy from Rocksteady Studios to its epic conclusion. Developed exclusively for New-Gen platforms, Batman: Arkham Knight introduces Rocksteady's uniquely designed version of the Batmobile.",Rocksteady Studios,Warner Bros.,"ACTION,FIGHTING,OPEN_WORLD",22815.89
35,Valiant Hearts: The Great War,valiant-hearts,14.99,2015-06-25T15:00:00.000Z,Windows,Valiant Hearts : The Great War is the story of 4 crossed destinies and a broken love in a world torn apart.,Ubisoft Montpellier,Ubisoft,ADVENTURE,47206.93
36,ARK Modkit,ark,0.00,2015-07-20T00:00:00.000Z,Windows,Create your own ARK: Survival Evolved Mods to share with fellow survivors! The ARK Dev Kit is a streamlined version of the Unreal Engine 4 Editor that simplifies the creation and sharing process for ARK: Survival Evolved.,,,,59050.40
37,SOMA,soma,29.99,2015-09-22T15:00:00.000Z,"Windows,Mac","SOMA is a sci-fi horror game from Frictional Games, the creators of Amnesia: The Dark Descent. It is an unsettling story about identity, consciousness, and what it means to be human.",Frictional Games,Frictional Games,"SINGLE_PLAYER,HORROR,NARRATION",7773.21
38,The Jackbox Party Pack 2,jackbox-party-pack-2,24.99,2015-10-13T15:00:00.000Z,"Windows,Mac,Win32","The sequel to the party game phenomenon The Jackbox Party Pack, featuring FIVE fresh, rib-tickling party games! Games include:   1) The runaway hit bluffing game Fibbage 2 (2-8 players) with over 500 brand-new questions, more than 2x the original.  2) The hear-larious sound-ef...",Jackbox Games,Jackbox Games,"CASUAL,PARTY,TRIVIA",20444.07
39,Human Resource Machine,human-resource-machine,14.99,2015-10-15T15:00:00.000Z,"Windows,Mac,Win32",The Machines Are Coming... For Your Job,Tomorrow Corporation,Tomorrow Corporation,"INDIE,PROGRAMMING,PUZZLE",14424.57
40,Rebel Galaxy,rebel-galaxy,19.99,2015-10-20T15:00:00.000Z,Windows,"Rebel Galaxy is a game of action-packed combat, exploration, discovery, trade, and “negotiation” with the outlandish denizens at the edge of the known universe.  You’ll battle pirates, explore anomalies, befriend aliens, scavenge battle wreckage, mine asteroids, and discover a...","Double Damage Games, Inc.","Double Damage Games, Inc.","SINGLE_PLAYER,SPACE_SIM",25976.08
41,Kingdom New Lands,kingdom-new-lands,14.99,2015-10-21T15:00:00.000Z,Windows,How long will you last?,noio,Raw Fury,"STRATEGY,SURVIVAL,SIMULATION",8460.40
42,Darksiders II Deathinitive Edition,darksiders2,29.99,2015-11-05T15:00:00.000Z,Windows,"The ultimate DARKSIDERS II experience! 1080p native resolution. Reworked and tuned game balancing and loot distribution. Improved Graphic Render Engine for even higher visual quality, lighting and shadows. Improved and reworked level, character and environment graphics."," Gunfire Games, Vigil Games, THQ Nordic",THQ Nordic,"ADVENTURE,ACTION,RPG",31904.26
43,Rainbow Six Siege Standard Edition,rainbow-six-siege,19.99,2015-12-01T15:00:00.000Z,Windows,"Master the art of destruction and gadgetry. Face intense close-quarters combat, tactical team play, and explosive action in every moment.",Ubisoft,Ubisoft,SHOOTER,16532.89
44,The Witness,the-witness,39.99,2016-01-26T15:00:00.000Z,"Windows,Mac","You wake up, alone, on a strange island full of puzzles.","Thekla, Inc.","Thekla, Inc.","SINGLE_PLAYER,FIRST_PERSON,PUZZLE",9617.73
45,Layers of Fear: Masterpiece Edition,layers-of-fear,22.99,2016-02-15T15:00:00.000Z,"Windows,Mac",Layers of Fear is a first-person psychedelic horror game with a heavy focus on story and exploration. Delve deep into the mind of an insane painter and discover the secret of his madness.   Layers of Fear: Inheritance expands the plot from Layers of Fear and tells the story of...,Bloober Team,"Aspyr Media, Inc.","HORROR,FIRST_PERSON,INVESTIGATION",17290.62
46,Alan Wake,alan-wake,14.99,2016-02-16T15:00:00.000Z,Windows,"When the wife of the best-selling writer Alan Wake disappears on their vacation, his search turns up pages from a thriller he doesn’t even remember writing. A Dark Presence stalks the small town of Bright Falls, pushing Wake to the brink of sanity in his fight to unravel the m...",Remedy Entertainment,Remedy Entertainment,"ACTION,HORROR,SHOOTER",47589.26
47,The Walking Dead: Michonne - A Telltale Miniseries,walking-dead-michonne,14.99,2016-02-23T15:00:00.000Z,,"The Walking Dead: Michonne - A Telltale Miniseries stars the iconic, blade-wielding character from Robert Kirkman's best-selling comic books. Haunted by her past, and coping with unimaginable loss and regret, the story explores Michonne's absence between issues #126 and #139 o...",Telltale Games,Skybound Games,"SINGLE_PLAYER,NARRATION,ADVENTURE",52899.77
48,SUPERHOT,superhot,24.99,2016-02-24T16:00:00.000Z,Windows,"SUPERHOT is the first-person shooter where time moves only when you move. No regenerating health bars. No conveniently placed ammo drops. It's just you, outnumbered and outgunned, grabbing weapons off enemies to shoot, slice, and maneuver through bullets.",SUPERHOT Team,SUPERHOT Team,"ACTION,INDIE,SHOOTER",15179.06
49,Far Cry Primal Standard Edition,far-cry-primal,29.99,2016-03-01T15:00:00.000Z,Windows,"The award-winning Far Cry franchise that stormed the tropics and the Himalayas now enters the original fight for humanity’s survival with its innovative open-world sandbox gameplay, bringing together massive beasts, breathtaking environments, and unpredictable savage encounters.",Ubisoft Montreal,Ubisoft,"OPEN_WORLD,SURVIVAL,ACTION",15791.83
50,Tom Clancy's The Division,the-division,29.99,2016-03-08T15:00:00.000Z,Windows,"After a deadly pandemic sweeps through New York, it's up to Agents to save what remains. Complete missions, explore the Dark Zone, and fight back enemy factions alone or with 3 friends. Experience a full endgame offering you new PvP and PvE modes.",Massive Entertainment,Ubisoft,"MULTIPLAYER,ACTION,RPG",16237.32
51,Trackmania Turbo,trackmania-turbo,39.99,2016-03-24T15:00:00.000Z,Windows,Trackmania Turbo offers you the ultimate arcade racing universe where everything is about reaching the perfect racing time.,Ubisoft Nadeo,Ubisoft,"RACING,ARCADE,MULTIPLAYER",73578.25
52,Hyper Light Drifter,hyper-light-drifter,19.99,2016-03-31T15:00:00.000Z,"Windows,Mac","Echoes of a dark and violent past resonate throughout a savage land, steeped in treasure and blood. Hyper Light Drifter is an action adventure RPG in the vein of the best 16­bit classics, with modernized mechanics and designs on a much grander scale.",Heart Machine,Heart Machine,"ACTION,RPG",43904.31
53,Enter the Gungeon,enter-the-gungeon,14.99,2016-04-05T15:00:00.000Z,"Windows,Mac","Bullet, Guns, & Puns",Dodge Roll,Devolver Digital,"ACTION,INDIE,ADVENTURE",31332.68
54,Squad Editor,squad,0.00,2016-06-09T00:00:00.000Z,,COORDINATE · COMMUNICATE · CONQUER,Offworld Industries,Offworld Industries,,47487.47
55,Drawful 2,drawful-2,9.99,2016-06-21T15:00:00.000Z,"Windows,Mac","The team behind the hit party games Fibbage, Quiplash, and YOU DON’T KNOW JACK presents Drawful 2, the game of terrible drawings and hilariously wrong answers!   You use your phone or tablet to draw weird and funny things like “pitcher of nachos” or “death by trombone.”   The ...",Jackbox Games,Jackbox Games,"CASUAL,PARTY,TRIVIA",15487.16
56,INSIDE,inside,19.99,2016-07-07T15:00:00.000Z,Windows,"Hunted and alone, a boy finds himself drawn into the center of a dark project.",Playdead,Playdead,"PUZZLE,INDIE,SINGLE_PLAYER",10458.93
57,ABZU,abzu,19.99,2016-08-02T15:00:00.000Z,Windows,"From the art director of Journey® and Flower®, ABZÛ is a beautiful underwater adventure that evokes the dream of diving.",Giant Squid, 505 Games,"EXPLORATION,ADVENTURE,SINGLE_PLAYER",37405.67
58,VR Funhouse,vr-funhouse,0.00,2016-08-31T11:38:00.000Z,,"Step right up to VR Funhouse mods!  Download the VR Funhouse Mod Kit, create your own mods, and share them with the world.  We can’t wait to see the amazing experiences you’ll create!",,,,45652.48
59,Watch Dogs 2 Standard Edition,watch-dogs-2,59.99,2016-11-15T15:21:00.000Z,Windows,"Welcome to San Francisco! Join the most notorious hacker group, DedSec. Your objective: execute the biggest hack of the history.",Ubisoft Montreal,Ubisoft,ACTION,31589.22
60,Darksiders Warmastered Edition,darksiders,19.99,2016-11-26T11:00:00.000Z,Windows,"Deceived by the forces of evil into prematurely bringing about the end of the world, War – the first Horseman of the Apocalypse – stands accused of breaking the sacred law by inciting a war between Heaven and Hell.","KAIKO, Vigil Games",THQ Nordic,"ADVENTURE,ACTION,RPG",10191.72
61,Steep Standard Edition,steep,29.99,2016-12-02T08:00:00.000Z,Windows,"Ride a massive open world across the Alps, where the powder is always fresh and the run never ends.","Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft,"SPORTS,OPEN_WORLD,ACTION",33600.85
62,The Walking Dead: A New Frontier,walking-dead-a-new-frontier,14.99,2016-12-20T15:00:00.000Z,Windows,"When family is all you have left…how far will you go to protect it?  After society was ripped apart by undead hands, pockets of civilization emerge from the chaos. But at what cost? Can the living be trusted on this new frontier?  As Javier, a young man determined to find the ...",Telltale Games,Skybound Games,"SINGLE_PLAYER,NARRATION,ADVENTURE",18192.69
63,Conan Exiles Modkit,conan-exiles,0.00,2017-01-17T11:22:00.000Z,,"Conan Exiles is an open world survival game set in the lands of Conan the Barbarian. Survive in a savage world, build a home and a kingdom, and dominate your enemies in epic warfare.",Funcom,Funcom,,11587.25
64,For Honor Standard Edition,for-honor,29.99,2017-02-14T15:00:00.000Z,,"For Honor Standard Edition gives you access to the base game including story mode, 7 multiplayer modes and 9 heroes from four Factions.",Ubisoft,Ubisoft,"ACTION,FIGHTING",5044.34
65,Stories Untold,stories-untold,9.99,2017-02-27T15:00:00.000Z,"Windows,Mac","Stories Untold is a narrative-driven experimental adventure game, that bends the genre into something completely unique. Combining a mix of classic text-adventure, point-and-click and more, 4 short stories are packaged together into a single mysterious anthology that has been ...",No Code ,Devolver Digital,"FIRST_PERSON,NARRATION",9155.75
66,Thimbleweed Park,thimbleweed-park,19.99,2017-03-30T15:00:00.000Z,"Windows,Mac","A haunted hotel, an abandoned circus, a burnt-out pillow factory, a dead body pixelating under the bridge, toilets that run on vacuum tubes... you’ve never visited a place like this before.","Terrible Toybox, Inc.","Terrible Toybox, Inc.",SINGLE_PLAYER,30080.04
67,Yooka-Laylee and the Impossible Lair,yooka-laylee-and-the-impossible-lair,29.99,2017-04-11T16:00:00.000Z,Windows,Yooka-Laylee and the Impossible Lair is a brand-new platform adventure from some of the key creative talent behind 'Donkey Kong Country'. With their arch-nemesis Capital B up to no good the buddy duo needs to spring into action once again to save the day!,Playtonic Games Ltd.,Team17 Digital Ltd,"ADVENTURE,PLATFORMER,SINGLE_PLAYER",27592.49
68,Everything,everything,14.99,2017-04-21T15:00:00.000Z,Windows,Be The Universe!,David OReilly,David OReilly,"SIMULATION,OPEN_WORLD,CASUAL",21777.64
69,What Remains of Edith Finch,what-remains-of-edith-finch,19.99,2017-04-25T15:00:00.000Z,Windows,"What Remains of Edith Finch is a collection of strange tales about a family in Washington state. As Edith, you’ll explore the colossal Finch house, searching for stories as she explores her family history and tries to figure out why she's the last one in her family left alive....",Giant Sparrow,Annapurna Interactive,"SINGLE_PLAYER,FIRST_PERSON,NARRATION",19328.69
70,RiME,rime,29.99,2017-05-26T15:00:00.000Z,Windows,"Play as a young boy who has awakened on a mysterious island after a torrential storm. You see wild animals, long-forgotten ruins and a massive tower that beckons you to come closer. Armed with your wits and a will to overcome—and the guidance of a helpful fox—you must explore ...",Tequila Works,Six Foot,PUZZLE,14728.88
71,Conarium,conarium,19.99,2017-06-06T15:00:00.000Z,Windows,"Conarium is a chilling Lovecraftian game, which follows a gripping story involving four scientists and their endeavor to challenge what we normally consider to be the ‘absolute’ limits of nature.",Zoetrope Interactive,Iceberg Interactive,"HORROR,PUZZLE,INDIE",23881.65
72,The End is Nigh,the-end-is-nigh,14.99,2017-07-12T15:00:00.000Z,Windows,"The End Is Nigh is a sprawling adventure platformer where you die a lot, but thats ok because you are probably already dead anyway.","Edmund McMillen, Tyler Glaiel","Edmund McMillen, Tyler Glaiel","ACTION,PLATFORMER,INDIE",7565.17
73,Fortnite,fortnite,0.00,2017-07-21T09:00:00.000Z,Windows,Join the Resistance in the final battle to free the Zero Point!,Epic Games,Epic Games,"SHOOTER,MULTIPLAYER,SINGLE_PLAYER",46446.87
74,Sundered: Eldritch Edition,sundered-eldritch-edition,19.99,2017-07-28T16:00:00.000Z,"Mac,Windows","Sundered is a chaotic hand­-drawn metroidvania where you resist or embrace ancient eldritch powers, a challenging and unique take on a classic genre from the creators of Jotun, now with local co-op!",Thunder Lotus,Thunder Lotus,"ACTION,INDIE,METROIDVANIA",40427.02
75,Slime Rancher,slime-rancher,19.99,2017-08-01T15:00:00.000Z,"Windows,Mac","Welcome to the Far, Far Range",Monomi Park,Monomi Park,"EXPLORATION,OPEN_WORLD,FIRST_PERSON",25975.88
76,Last Day of June,last-day-of-june,19.99,2017-08-31T15:00:00.000Z,Windows,"Join Carl and June on what begins as a magical outing to their favorite spot, and try to unlock the sequence of events that could save the day – and June’s life – in this cinematic experience that will compel you  to ask yourself: “What would I do to save the one I love?”  Las...",Ovosonico,505 Games,"INDIE,RPG",26644.39
77,RUINER,ruiner,19.99,2017-09-26T15:00:00.000Z,,RUINER is a brutal action shooter set in the year 2091 in the cyber metropolis Rengkok. A wired psychopath lashes out against a corrupt system to uncover the truth and retrieve his kidnapped brother under the guidance of a secretive hacker friend.,Reikon Games,Devolver Digital,"ACTION,SHOOTER,ADVENTURE",10440.70
78,South Park™: The Fractured But Whole™ Standard Edition,south-park-the-fractured-but-whole,49.99,2017-10-16T10:00:00.000Z,Windows,"In this new opus, from the creators of South Park, assume the role of the New Kid and join Stan, Kyle, Kenny and Cartman in a hilarious and outrageous RPG adventure.", Ubisoft San Francisco,Ubisoft,"RPG,COMEDY,TURN_BASED",15867.92
79,The Jackbox Party Pack 5,jackbox-party-pack-5,29.99,2017-10-17T15:00:00.000Z,"Windows,Mac,Win32","It’s the biggest Party Pack yet with five party-saving new games!  1)      The pop-culture trivia mash-up YOU DON’T KNOW JACK: Full Stream (1-8 players). The classic returns, full of wild new surprises. 2)      The what-if game Split the Room (3-8 Players). Create strange and ...",Jackbox Games,Jackbox Games,"CASUAL,PARTY,TRIVIA",11591.46
80,The Jackbox Party Pack 4,jackbox-party-pack-4,24.99,2017-10-19T15:00:00.000Z,"Windows,Mac,Win32",The biggest and fourthiest addition to this storied party game franchise features not five but FIVE AND A HALF crowd-slaying games!  1) The blanking fun sequel Fibbage 3 (2-8 players). Play all-new question types and the game mode Fibbage: Enough About You (3-8 players). Guess...,Jackbox Games,Jackbox Games,"CASUAL,PARTY,TRIVIA",10484.75
81,Assassin's Creed Origins Standard Edition,assassins-creed-origins,59.99,2017-10-26T11:00:00.000Z,Windows,Unveil dark secrets and forgotten myths as you go back to the one founding moment: The Origins of the Assassin’s Brotherhood.,Ubisoft Montreal,Ubisoft,"ACTION,ADVENTURE,OPEN_WORLD",60222.25
82,Gorogoa,gorogoa,14.99,2017-12-14T15:00:00.000Z,Windows,"Gorogoa is an elegant evolution of the puzzle genre, told through a beautifully hand-drawn story designed and illustrated by Jason Roberts.   UNIQUELY IMAGINATIVE PUZZLES The gameplay of Gorogoa is wholly original, comprised of lavishly illustrated panels that players arrange ...",Jason Roberts,Annapurna Interactive,"INDIE,STORYBOOK",40347.03
83,Celeste,celeste,19.99,2018-01-05T15:00:00.000Z,"Windows,Mac","Help Madeline survive her inner demons on her journey to the top of Celeste Mountain, in this super-tight platformer from the creators of TowerFall. Brave hundreds of hand-crafted challenges, uncover devious secrets, and piece together the mystery of the mountain.",Matt Makes Games,Matt Makes Games,"INDIE,PLATFORMER,ACTION",32757.04
84,ATLAS Mod Kit,atlas-mod-kit,0.00,2018-01-10T15:21:00.000Z,Windows,Create your own ATLAS Mods to share with your friends — and players worldwide!,Grapeshot Games,Snail Games USA,,48142.55
85,InnerSpace,innerspace,19.99,2018-01-16T16:00:00.000Z,"Windows,Mac",Discover the Inverse,PolyKnight Games,Aspyr Media,EXPLORATION,35504.43
86,Subnautica,subnautica,29.99,2018-01-23T14:00:00.000Z,"Windows,Mac",Prepare to dive,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"OPEN_WORLD,SURVIVAL",52560.20
87,Kingdom Come: Deliverance,kingdom-come-deliverance,29.99,2018-02-13T16:00:00.000Z,Windows,"Kingdom Come: Deliverance is a story-driven open-world RPG that immerses you in an epic adventure in the Holy Roman Empire. Avenge your parents' death as you battle invading forces, go on game-changing quests, and make influential choices.",Warhorse Studios,Prime Matter,"RPG,ADVENTURE,OPEN_WORLD",59011.95
88,Into the Breach,into-the-breach,14.99,2018-02-27T16:00:00.000Z,"Windows,Mac",Control powerful mechs from the future to defeat an alien threat. Each attempt to save the world presents a new randomly generated challenge in this turn-based strategy game from the makers of FTL.,Subset Games,Subset Games,"ROGUE_LITE,TURN_BASED,STRATEGY",28739.00
89,Surviving Mars,surviving-mars,29.99,2018-03-15T15:00:00.000Z,"Windows,Mac","Surviving Mars is a sci-fi city builder all about colonizing Mars and surviving the process. Choose a space agency for resources and financial support before determining a location for your colony. Build domes and infrastructure, research new possibilities and utilize drones t...",Haemimont Games,Paradox Interactive,SINGLE_PLAYER,37326.17
